Производитель,Модель,Цена,Цена без скидки,Скидка,Процессор,Дискретная видеокарта,Встроенная видеокарта,Оперативная память,SSD,HDD,Экран,Операционная система,Ссылка
Dell,G15 5515,202799,0,0,AMD Ryzen 7 5800H 8x3.2 ГГц,NVIDIA GeForce RTX 3050 для ноутбуков 4 ГБ,AMD Radeon Graphics,16 ГБ DDR4 3200 МГц,512 ГБ M.2 PCIe,Нет,"1920x1080 15.6"" WVA (TN+film) 120 Гц",Windows 11 Home Single Language,https://www.dns-shop.ru/product/3fed32fe9fa32ff4/156-noutbuk-dell-g15-5515-seryj/characteristics/
MSI,GE66 Raider 12UGS-289RU,206999,229999,10,Intel Core i7-12700H 6x3.5 ГГц,NVIDIA GeForce RTX 3070 Ti для ноутбуков 8 ГБ,Intel UHD Graphics,16 ГБ DDR5,1000 ГБ M.2 PCIe,Нет,"1920x1080 15.6"" IPS 360 Гц",Windows 11 Home Single Language,https://www.dns-shop.ru/product/3fed33729fa32ff4/156-noutbuk-msi-ge66-raider-12ugs-289ru-goluboj/characteristics/
Alienware,M15 R5,209999,0,0,AMD Ryzen 7 5800H 8x3.2 ГГц,NVIDIA GeForce RTX 3060 для ноутбуков 6 ГБ,AMD Radeon Graphics,16 ГБ DDR4 3200 МГц,512 ГБ M.2 PCIe,Нет,"1920x1080 15.6"" IPS 165 Гц",Windows 11 Home Single Language,https://www.dns-shop.ru/product/39ef8f1b9fa32ff4/156-noutbuk-alienware-m15-r5-seryj/characteristics/
ASUS,ROG Strix G15 G513QY-HF001,219999,0,0,AMD Ryzen 9 5900HX 8x3.3 ГГц,AMD Radeon RX 6800M 12 ГБ,AMD Radeon Graphics,16 ГБ DDR4 3200 МГц,512 ГБ M.2 PCIe,Нет,"1920x1080 15.6"" IPS 300 Гц",без ОС,https://www.dns-shop.ru/product/2df386809fa32ff4/156-noutbuk-asus-rog-strix-g15-g513qy-hf001-cernyj/characteristics/
ASUS,ROG Strix G15 G513QY-HF001T,219999,0,0,AMD Ryzen 9 5900HX 8x3.3 ГГц,AMD Radeon RX 6800M 12 ГБ,AMD Radeon Graphics,16 ГБ DDR4 3200 МГц,512 ГБ M.2 PCIe,Нет,"1920x1080 15.6"" IPS 300 Гц",Windows 10 Home Single Language,https://www.dns-shop.ru/product/27f63af69fa32ff4/156-noutbuk-asus-rog-strix-g15-g513qy-hf001t-cernyj/characteristics/
MSI,GE66 Raider 12UGS-466RU,249999,0,0,Intel Core i9-12900HK кол-во ядер: 6,NVIDIA GeForce RTX 3070 Ti для ноутбуков 8 ГБ,Intel Iris Xe Graphics,32 ГБ DDR5,1000 ГБ M.2 PCIe,Нет,"2560x1440 15.6"" IPS 240 Гц",Windows 11 Home Single Language,https://www.dns-shop.ru/product/5e6ef727d5b1ed20/156-noutbuk-msi-ge66-raider-12ugs-466ru-goluboj/characteristics/
MSI,Creator Z16P B12UGST-026RU,249999,0,0,Intel Core i9-12900H кол-во ядер: 6,NVIDIA GeForce RTX 3070 Ti для ноутбуков 8 ГБ,Intel Iris Xe Graphics,32 ГБ DDR5,2000 ГБ M.2 PCIe,Нет,"2560x1600 16"" IPS 165 Гц",Windows 11 Home Single Language,https://www.dns-shop.ru/product/b207caa7d5b3ed20/16-noutbuk-msi-creator-z16p-b12ugst-026ru-seryj/characteristics/
MSI,GE66 Raider 12UHS-467RU,309999,0,0,Intel Core i9-12900HK кол-во ядер: 6,NVIDIA GeForce RTX 3080 Ti для ноутбуков 16 ГБ,Intel Iris Xe Graphics,32 ГБ DDR5,2000 ГБ M.2 PCIe,Нет,"3840x2160 15.6"" IPS 120 Гц",Windows 11 Home Single Language,https://www.dns-shop.ru/product/d372b0d2d5b0ed20/156-noutbuk-msi-ge66-raider-12uhs-467ru-goluboj/characteristics/
MSI,GS66 Stealth 12UHS-267RU,329999,0,0,Intel Core i9-12900H кол-во ядер: 6,NVIDIA GeForce RTX 3080 Ti для ноутбуков 16 ГБ,Intel UHD Graphics,64 ГБ DDR5 4800 МГц,2000 ГБ M.2 PCIe,Нет,"3840x2160 15.6"" IPS 60 Гц",Windows 11 Home Single Language,https://www.dns-shop.ru/product/12af7d3ad5aeed20/156-noutbuk-msi-gs66-stealth-12uhs-267ru-cernyj/characteristics/
MSI,GE76 Raider 12UHS-682RU,349999,0,0,Intel Core i9-12900HK кол-во ядер: 6,NVIDIA GeForce RTX 3080 Ti для ноутбуков 16 ГБ,Intel Iris Xe Graphics,64 ГБ DDR5 4800 МГц,2000 ГБ M.2 PCIe,Нет,"3840x2160 17.3"" IPS 120 Гц",Windows 11 Home Single Language,https://www.dns-shop.ru/product/42b2a5ccd5aced20/173-noutbuk-msi-ge76-raider-12uhs-682ru-sinij/characteristics/
